BASIC DESIGN AND ART APPRECIATION,15ARC28,3,0,F,0,0,NOT ELIGIBLE,2,reg
BUILDING STRUCTURES -II,15ENG25,3,0,F,0,0,,2,reg
MATERIALS &METHODS IN BUILDING CONSTRNION-II,15ARC22,4,0,F,0,0,NOT ELIGIBLE,2,reg
THEORY OF ARCHITECTURE- I,15ARC26,3,0,F,0,0,NOT ELIGIBLE,2,reg
ARCHITECTURAL GRAPHICS-II,15ARC23,3,0,F,0,0,ABSENT,2,reg
HISTORY OF ARCHITECTURE-II,15ARC24,3,0,F,0,0,NOT ELIGIBLE,2,reg
ARCHITECTURAL DESIGN -II,15ARC21,7,0,F,0,0,ABSENT,2,reg
SITE SURVEYING AND ANALYSIS,15ENG27,3,0,F,0,0,,2,reg
